"ATP","Date","Round","Winner","Loser","WRank","LRank","WPts","LPts","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","B365W","B365L","PSW","PSL","MaxW","MaxL","AvgW","AvgL"
32,"03/06/13","4th Round","Nadal R.","Nishikori K.",4,15,6895,2315,6,4,6,1,6,3,NA,NA,NA,NA,3,0,1.04,13,1.04,17,1.06,17,1.04,12.49
32,"04/06/13","Quarterfinals","Tsonga J.W.","Federer R.",8,3,3795,8000,7,5,6,3,6,3,NA,NA,NA,NA,3,0,2.5,1.53,2.47,1.63,2.6,1.7,2.44,1.56
32,"04/06/13","Quarterfinals","Ferrer D.","Robredo T.",5,34,6740,1095,6,2,6,1,6,1,NA,NA,NA,NA,3,0,1.05,11,1.08,10.25,1.08,12,1.06,9.67
32,"05/06/13","Quarterfinals","Djokovic N.","Haas T.",1,14,12310,2340,6,3,7,6,7,5,NA,NA,NA,NA,3,0,1.08,8,1.11,8.53,1.13,8.53,1.1,6.99
32,"05/06/13","Quarterfinals","Nadal R.","Wawrinka S.",4,10,6895,2630,6,2,6,3,6,1,NA,NA,NA,NA,3,0,1.06,10,1.06,12.5,1.08,12.6,1.06,9.99
32,"07/06/13","Semifinals","Nadal R.","Djokovic N.",4,1,6895,12310,6,4,3,6,6,1,6,7,9,7,3,2,1.61,2.3,1.58,2.6,1.8,2.65,1.61,2.33
32,"07/06/13","Semifinals","Ferrer D.","Tsonga J.W.",5,8,6740,3795,6,1,7,6,6,2,NA,NA,NA,NA,3,0,1.61,2.3,1.68,2.37,1.72,2.43,1.66,2.22
32,"09/06/13","The Final","Nadal R.","Ferrer D.",4,5,6895,6740,6,3,6,2,6,3,NA,NA,NA,NA,3,0,1.1,7,1.13,8.25,1.14,8.42,1.11,7.03
32,"25/05/14","1st Round","Raonic M.","Kyrgios N.",9,160,2975,350,6,3,7,6,6,3,NA,NA,NA,NA,3,0,1.07,9,1.09,9.06,1.1,9.06,1.08,7.7
32,"25/05/14","1st Round","Youzhny M.","Carreno-Busta P.",16,68,2065,729,3,6,1,6,6,3,6,4,6,0,3,2,1.36,3,1.47,2.9,1.47,3.1,1.41,2.88
32,"25/05/14","1st Round","Nedovyesov A.","Devvarman S.",101,96,591,595,5,7,6,3,7,6,6,3,NA,NA,3,1,1.9,1.8,1.99,1.92,1.99,2.05,1.85,1.92
32,"25/05/14","1st Round","Nieminen J.","Przysiezny M.",60,102,790,572,6,7,6,4,6,7,6,3,6,4,3,2,1.14,5.5,1.14,6.87,1.2,6.87,1.17,5.03
32,"25/05/14","1st Round","Stepanek R.","Arguello F.",43,114,1040,512,6,7,3,6,6,4,6,3,6,2,3,2,1.28,3.5,1.31,3.85,1.33,4,1.28,3.6
32,"25/05/14","1st Round","Federer R.","Lacko L.",4,87,5125,617,6,2,6,4,6,2,NA,NA,NA,NA,3,0,1.01,26,1.01,27.22,1.03,27.22,1.02,16.47
32,"25/05/14","1st Round","Berdych T.","Polansky P.",6,135,4330,421,6,3,6,4,6,4,NA,NA,NA,NA,3,0,1.01,21,1.02,22.73,1.03,23.5,1.02,15.43
32,"25/05/14","1st Round","Schwartzman D.","Elias G.",109,178,533,294,6,4,6,2,7,5,NA,NA,NA,NA,3,0,1.53,2.37,1.57,2.57,1.61,2.57,1.57,2.37
32,"25/05/14","1st Round","Janowicz J.","Estrella Burgos V.",23,100,1510,592,6,1,6,4,6,7,6,4,NA,NA,3,1,1.18,4.5,1.22,4.85,1.29,4.85,1.22,4.17
32,"25/05/14","1st Round","Isner J.","Herbert P.H.",11,130,2600,431,7,6,7,6,7,5,NA,NA,NA,NA,3,0,1.08,8,1.1,8.6,1.15,8.6,1.1,6.96
32,"25/05/14","1st Round","Tsonga J.W.","Roger-Vasselin E.",14,51,2315,895,7,6,7,5,6,2,NA,NA,NA,NA,3,0,1.14,5.5,1.17,5.87,1.17,5.87,1.15,5.28
32,"25/05/14","1st Round","Tursunov D.","Starace P.",32,176,1155,304,6,1,7,5,6,2,NA,NA,NA,NA,3,0,1.44,2.62,1.56,2.62,1.59,2.75,1.5,2.56
