"",Date,Round,Winner,Loser,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg
57,24/05/2016,1st Round,Goerges J.,Konta J.,57,21.0,1055,2280.0,2.0,0.0,2.37,1.53,2.2,1.6,2.38,1.57,2.45,1.62,1.41,2.85,2.45,1.63,2.34,1.58,2,0.0,0.0,0,0,0,0,3,1,1,1
58,24/05/2016,1st Round,Pereira T.,Pliskova Kr.,81,109.0,808,609.0,2.0,1.0,1.5,2.5,1.55,2.25,1.53,2.5,1.62,2.45,1.94,1.82,1.62,2.5,1.55,2.42,3,1.0,1.0,1,1,1,1,1,1,0,1
59,24/05/2016,1st Round,Putintseva Y.,Wozniak A.,60,514.0,1025,54.0,2.0,0.0,1.1,7.0,1.09,6.0,1.1,7.0,1.13,7.04,1.07,8.1,1.13,7.04,1.11,6.47,2,1.0,1.0,1,1,1,1,5,0,1,1
60,24/05/2016,1st Round,Svitolina E.,Cirstea S.,20,97.0,2416,693.0,2.0,0.0,1.9,1.8,1.85,1.8,1.91,1.91,1.99,1.92,2.08,1.73,2.08,1.92,1.92,1.86,2,1.0,1.0,0,0,0,0,6,4,1,1
61,24/05/2016,1st Round,Falconi I.,Barthel M.,63,66.0,1005,975.0,2.0,1.0,1.4,2.75,1.42,2.65,1.44,2.75,1.47,2.9,1.24,3.98,1.47,3.0,1.42,2.79,3,1.0,1.0,1,1,1,1,1,0,1,1
62,24/05/2016,1st Round,Williams S.,Rybarikova M.,1,77.0,9030,832.0,2.0,0.0,1.01,21.0,1.01,10.5,1.02,15.0,1.02,21.49,1.09,7.3,1.03,26.0,1.02,17.16,2,1.0,1.0,1,1,1,1,5,2,1,1
63,24/05/2016,1st Round,Parmentier P.,Niculescu M.,88,35.0,757,1450.0,2.0,0.0,2.1,1.66,2.15,1.62,2.2,1.67,2.05,1.81,1.37,3.02,2.25,1.81,2.16,1.68,2,0.0,0.0,0,0,0,0,3,0,1,1
64,25/05/2016,2nd Round,Pavlyuchenkova A.,Buyukakcay C.,27,83.0,1840,794.0,2.0,1.0,1.44,2.62,1.4,2.75,1.44,2.75,1.41,3.15,4.88,1.17,1.5,3.15,1.43,2.78,3,1.0,1.0,1,1,1,1,2,0,1,1
65,25/05/2016,2nd Round,Halep S.,Diyas Z.,6,90.0,4301,750.0,2.0,0.0,1.07,9.0,1.05,8.0,1.05,10.0,1.08,9.87,4.08,1.23,1.08,11.0,1.06,8.97,2,1.0,1.0,1,1,1,1,5,0,1,1
66,25/05/2016,2nd Round,Kvitova P.,Hsieh S.W.,12,80.0,2878,817.0,2.0,0.0,1.16,5.0,1.16,4.25,1.17,5.0,1.18,5.68,1.25,3.91,1.2,5.68,1.16,5.01,2,1.0,1.0,1,1,1,1,3,1,1,1
67,25/05/2016,2nd Round,Kuznetsova S.,Watson H.,15,56.0,2585,1081.0,2.0,0.0,1.36,3.0,1.38,2.8,1.4,3.0,1.37,3.41,14.21,1.02,1.44,3.41,1.37,3.03,2,1.0,1.0,1,1,1,1,2,0,1,1
68,25/05/2016,2nd Round,Rogers S.,Vesnina E.,108,49.0,611,1159.0,2.0,0.0,3.25,1.33,3.3,1.28,3.25,1.36,3.64,1.33,1.48,2.6,3.64,1.36,3.25,1.33,2,0.0,0.0,0,0,0,0,3,1,1,1
69,25/05/2016,2nd Round,Osaka N.,Lucic-Baroni M.,101,52.0,659,1118.0,2.0,0.0,3.5,1.28,3.0,1.33,3.4,1.33,3.85,1.31,1.23,4.03,3.85,1.33,3.52,1.29,2,0.0,0.0,0,0,0,0,3,0,1,1
70,25/05/2016,2nd Round,Muguruza G.,Georges M.,4,203.0,5196,254.0,2.0,0.0,1.04,10.0,1.01,10.0,1.03,13.0,1.05,13.89,1.19,4.54,1.05,13.89,1.04,11.37,2,1.0,1.0,1,1,1,1,5,0,1,1
71,25/05/2016,2nd Round,Safarova L.,Golubic V.,13,130.0,2843,471.0,2.0,0.0,1.22,4.0,1.18,4.0,1.25,4.0,1.27,4.22,4.81,1.18,1.27,4.5,1.23,4.03,2,1.0,1.0,1,1,1,1,1,0,1,1
72,25/05/2016,2nd Round,Wickmayer Y.,Makarova E.,54,29.0,1095,1552.0,2.0,1.0,2.75,1.4,2.6,1.42,2.75,1.44,3.03,1.44,1.65,2.2,3.05,1.45,2.82,1.42,3,0.0,0.0,0,0,0,0,1,0,1,1
73,25/05/2016,2nd Round,Stosur S.,Zhang S.,24,69.0,2050,949.0,2.0,0.0,1.3,3.75,1.25,3.5,1.3,3.5,1.31,3.81,1.14,5.63,1.33,3.85,1.29,3.56,2,1.0,1.0,1,1,1,1,3,2,1,1
74,25/05/2016,2nd Round,Strycova B.,Hercog P.,33,94.0,1520,730.0,2.0,0.0,1.33,3.25,1.35,2.9,1.36,3.25,1.41,3.1,1.04,11.06,1.41,3.35,1.35,3.11,2,1.0,1.0,1,1,1,1,2,2,0,1
75,25/05/2016,2nd Round,Pironkova T.,Larsson J.,102,62.0,644,1023.0,2.0,0.0,2.0,1.72,1.9,1.75,2.0,1.8,2.0,1.91,2.45,1.54,2.16,1.91,2.0,1.78,2,0.0,0.0,0,0,0,0,2,0,1,1
76,25/05/2016,2nd Round,Begu I.,Vandeweghe C.,28,43.0,1655,1242.0,2.0,1.0,1.22,4.0,1.2,3.8,1.25,4.0,1.25,4.48,2.21,1.65,1.25,4.6,1.21,4.25,3,1.0,1.0,1,1,1,1,4,0,1,1
77,25/05/2016,2nd Round,Radwanska A.,Garcia C.,2,40.0,5850,1305.0,2.0,0.0,1.53,2.37,1.58,2.25,1.62,2.25,1.65,2.4,1.11,6.33,1.65,2.5,1.58,2.35,2,1.0,1.0,1,1,1,1,2,3,0,0
78,25/05/2016,2nd Round,Beck A.,Bondarenko K.,39,65.0,1335,978.0,2.0,1.0,1.9,1.8,1.8,1.85,1.91,1.91,1.87,2.04,1.93,1.84,1.91,2.1,1.85,1.94,3,1.0,1.0,0,1,1,1,1,0,1,1
79,25/05/2016,2nd Round,Stephens S.,Cepede Royg V.,22,161.0,2260,355.0,2.0,0.0,1.25,3.75,1.25,3.5,1.25,4.0,1.29,3.97,1.96,1.82,1.3,4.0,1.26,3.78,2,1.0,1.0,1,1,1,1,5,1,1,1
